,objectID,Title,ArtistName,TimePeriod,Region Detailed,Country,Century,Culture,primaryImage
117,38044,Maharaja Sardar Singh of Bikaner,Chotu,ca. 1860–70,"India (Rajasthan, Bikaner)",India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT4008_CRD.jpg
118,38045,Maharana Sangram Singh II Hunts Hares at Naramangra,Unidentified artist,ca. 1720–30,"Western India, Rajasthan, Udaipur",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/1996_45.JPG
119,38046,Prince Padam Singh of Bikaner with His Bard Gordhar on a Terrace at Night,Bhavani Das,ca. 1725,"India, Rajasthan, Kishangarh",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP156171.jpg
120,38048,Shah Jahan Hunting Blackbuck with Trained Cheetahs,Unidentified artist,1710–15,"Western India, Rajasthan, Udaipur",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP156161.jpg
121,38052,Buddha Within a Stupa,Unidentified artist,16th–17th century,China,China,1600's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/LC-30_76_286_housing--003_crop.jpg
122,38057,Sketch with Kali and a Young Boy,Unidentified artist,ca. 1800,"India (Punjab Hills, Kangra?)",India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP152314.jpg
123,38058,"Maharana Amar Singh II, Prince Sangram Singh and Courtiers Watch a Performance",Unidentified artist,ca. 1705–8,"India (Rajasthan, Mewar)",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-23064-001.jpg
124,38070,The Buddha Descending from Trayastrimsa Heaven at Sankissa,Unidentified artist,19th century,Thailand,Thailand,1900's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-15615-001.jpg
125,38072,Lamaist Mandala,Unidentified artist,17th century,China,China,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/51_156_2_O2.jpg
126,38347,Lha Mo Riding on a Donkey,Unidentified artist,18th century,China,China,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP259342.jpg
127,38822,Luohans,Unidentified,17th–18th century,China,China,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP159091.jpg
128,39482,Mandala of Wakamiya of Kasuga Shrine (Kasuga wakamiya mandara),Unidentified artist,early 14th century,Japan,Japan,1400's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT374578.jpg
129,39483,Weighing Books,Guo Xu,early 16th century,China,China,1600's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP157066.jpg
130,39536,Living Aloft: Master Liu's Retreat,Wen Zhengming,1543,China,China,1500's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP274197.jpg
